,city,date,epidemiological_week,estimated_population,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,new_confirmed,new_deaths
1514661,São Pedro da Aldeia,2020-03-31,202014,106049.0,1,0.94296,2020-03-31,0.0,0,1,0
1514667,Arraial do Cabo,2020-04-01,202014,30593.0,1,3.26872,2020-04-01,1.0,1,1,1
1514690,São Pedro da Aldeia,2020-04-01,202014,106049.0,1,0.94296,2020-04-01,0.0,0,0,0
1514696,Arraial do Cabo,2020-04-02,202014,30593.0,1,3.26872,2020-04-02,1.0,1,0,0
1514722,São Pedro da Aldeia,2020-04-02,202014,106049.0,1,0.94296,2020-04-02,0.0,0,0,0
1514728,Araruama,2020-04-03,202014,134293.0,1,0.74464,2020-04-03,0.0,0,1,0
1514729,Arraial do Cabo,2020-04-03,202014,30593.0,1,3.26872,2020-04-03,1.0,1,0,0
1514736,Iguaba Grande,2020-04-03,202014,28837.0,1,3.46777,2020-04-03,0.0,0,1,0
1514759,São Pedro da Aldeia,2020-04-03,202014,106049.0,1,0.94296,2020-04-03,0.0,0,0,0
1514766,Araruama,2020-04-04,202014,134293.0,1,0.74464,2020-04-04,0.0,0,0,0
1514767,Arraial do Cabo,2020-04-04,202014,30593.0,1,3.26872,2020-04-04,1.0,1,0,0
1514774,Iguaba Grande,2020-04-04,202014,28837.0,1,3.46777,2020-04-04,0.0,0,0,0
1514799,São Pedro da Aldeia,2020-04-04,202014,106049.0,1,0.94296,2020-04-04,0.0,0,0,0
1514806,Araruama,2020-04-05,202015,134293.0,1,0.74464,2020-04-05,0.0,0,0,0
1514807,Arraial do Cabo,2020-04-05,202015,30593.0,1,3.26872,2020-04-05,1.0,1,0,0
1514814,Iguaba Grande,2020-04-05,202015,28837.0,1,3.46777,2020-04-05,0.0,0,0,0
1514841,São Pedro da Aldeia,2020-04-05,202015,106049.0,2,1.88592,2020-04-05,0.0,0,1,0
1514850,Araruama,2020-04-06,202015,134293.0,1,0.74464,2020-04-06,0.0,0,0,0
1514851,Arraial do Cabo,2020-04-06,202015,30593.0,1,3.26872,2020-04-06,1.0,1,0,0
1514858,Iguaba Grande,2020-04-06,202015,28837.0,1,3.46777,2020-04-06,0.0,0,0,0
1514885,São Pedro da Aldeia,2020-04-06,202015,106049.0,2,1.88592,2020-04-06,0.0,0,0,0
1514894,Araruama,2020-04-07,202015,134293.0,1,0.74464,2020-04-07,0.0,0,0,0
1514895,Arraial do Cabo,2020-04-07,202015,30593.0,1,3.26872,2020-04-07,1.0,1,0,0
1514900,Cabo Frio,2020-04-07,202015,230378.0,1,0.43406999999999996,2020-04-07,0.0,0,1,0
1514905,Iguaba Grande,2020-04-07,202015,28837.0,3,10.4033,2020-04-07,0.6667,2,2,2
1514936,São Pedro da Aldeia,2020-04-07,202015,106049.0,3,2.82888,2020-04-07,0.0,0,1,0
1514945,Araruama,2020-04-08,202015,134293.0,1,0.74464,2020-04-08,0.0,0,0,0
1514946,Arraial do Cabo,2020-04-08,202015,30593.0,1,3.26872,2020-04-08,1.0,1,0,0
1514951,Cabo Frio,2020-04-08,202015,230378.0,3,1.30221,2020-04-08,0.0,0,2,0
1514956,Iguaba Grande,2020-04-08,202015,28837.0,3,10.4033,2020-04-08,0.6667,2,0,0
1514988,São Pedro da Aldeia,2020-04-08,202015,106049.0,3,2.82888,2020-04-08,0.0,0,0,0
1514997,Araruama,2020-04-09,202015,134293.0,3,2.23392,2020-04-09,0.0,0,2,0
1514998,Arraial do Cabo,2020-04-09,202015,30593.0,1,3.26872,2020-04-09,1.0,1,0,0
1515003,Cabo Frio,2020-04-09,202015,230378.0,4,1.7362799999999998,2020-04-09,0.0,0,1,0
1515009,Iguaba Grande,2020-04-09,202015,28837.0,3,10.4033,2020-04-09,0.6667,2,0,0
1515044,São Pedro da Aldeia,2020-04-09,202015,106049.0,3,2.82888,2020-04-09,0.0,0,0,0
